on 0: Entering translator loop...
on 193: {'channel': 78, 'bx': 1005, 'tdc': 13, 'link': 11}
on 194: {'channel': 178, 'bx': 1005, 'tdc': 10, 'link': 11}
on 195: {'channel': 82, 'bx': 1005, 'tdc': 13, 'link': 11}
on 196: {'channel': 6, 'bx': 1005, 'tdc': 17, 'link': 11}
on 197: {'channel': 130, 'bx': 1005, 'tdc': 15, 'link': 11}
on 198: {'channel': 50, 'bx': 1005, 'tdc': 15, 'link': 11}
on 199: {'channel': 14, 'bx': 1005, 'tdc': 12, 'link': 11}
on 200: {'channel': 204, 'bx': 1005, 'tdc': 10, 'link': 9}
on 201: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 9}
on 202: {'channel': 78, 'bx': 1005, 'tdc': 13, 'link': 9}
on 203: {'channel': 178, 'bx': 1005, 'tdc': 10, 'link': 9}
on 204: {'channel': 82, 'bx': 1005, 'tdc': 13, 'link': 9}
on 205: {'channel': 6, 'bx': 1005, 'tdc': 17, 'link': 9}
on 206: {'channel': 215, 'bx': 1005, 'tdc': 14, 'link': 9}
on 207: {'channel': 95, 'bx': 1005, 'tdc': 11, 'link': 9}
on 208: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 9}
on 209: {'channel': 99, 'bx': 1005, 'tdc': 14, 'link': 9}
on 210: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 9}
on 211: {'channel': 103, 'bx': 1005, 'tdc': 13, 'link': 9}
on 212: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 9}
on 213: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 9}
on 214: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 9}
on 215: {'channel': 111, 'bx': 1005, 'tdc': 14, 'link': 9}
on 216: {'channel': 208, 'bx': 1005, 'tdc': 16, 'link': 10}
on 217: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 10}
on 218: {'channel': 215, 'bx': 1005, 'tdc': 14, 'link': 10}
on 219: {'channel': 95, 'bx': 1005, 'tdc': 11, 'link': 10}
on 220: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 10}
on 221: {'channel': 99, 'bx': 1005, 'tdc': 14, 'link': 10}
on 222: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 10}
on 223: {'channel': 103, 'bx': 1005, 'tdc': 13, 'link': 10}
on 224: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 10}
on 225: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 10}
on 226: {'channel': 203, 'bx': 1005, 'tdc': 16, 'link': 10}
on 227: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 10}
on 228: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 10}
on 229: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 10}
on 230: {'channel': 211, 'bx': 1005, 'tdc': 16, 'link': 10}
on 231: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 10}
on 232: {'channel': 138, 'bx': 1005, 'tdc': 11, 'link': 11}
on 233: {'channel': 98, 'bx': 1005, 'tdc': 10, 'link': 11}
on 234: {'channel': 203, 'bx': 1005, 'tdc': 16, 'link': 11}
on 235: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 11}
on 236: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 11}
on 237: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 11}
on 238: {'channel': 211, 'bx': 1005, 'tdc': 16, 'link': 11}
on 239: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 11}
on 240: {'channel': 215, 'bx': 1005, 'tdc': 15, 'link': 11}
on 241: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 11}
on 242: {'channel': 219, 'bx': 1005, 'tdc': 12, 'link': 11}
on 243: {'channel': 95, 'bx': 1005, 'tdc': 10, 'link': 11}
on 244: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 11}
on 245: {'channel': 99, 'bx': 1005, 'tdc': 14, 'link': 11}
on 246: {'channel': 227, 'bx': 1005, 'tdc': 17, 'link': 11}
on 247: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 11}
on 248: {'channel': 207, 'bx': 1005, 'tdc': 10, 'link': 9}
on 249: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 9}
on 250: {'channel': 203, 'bx': 1005, 'tdc': 16, 'link': 9}
on 251: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 9}
on 252: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 9}
on 253: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 9}
on 254: {'channel': 211, 'bx': 1005, 'tdc': 16, 'link': 9}
on 255: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 9}
on 256: {'channel': 215, 'bx': 1005, 'tdc': 15, 'link': 9}
on 257: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 9}
on 258: {'channel': 219, 'bx': 1005, 'tdc': 12, 'link': 9}
on 259: {'channel': 95, 'bx': 1005, 'tdc': 10, 'link': 9}
on 260: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 9}
on 261: {'channel': 99, 'bx': 1005, 'tdc': 14, 'link': 9}
on 262: {'channel': 227, 'bx': 1005, 'tdc': 17, 'link': 9}
on 263: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 9}
on 264: {'channel': 215, 'bx': 1005, 'tdc': 15, 'link': 10}
on 265: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 10}
on 266: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 10}
on 267: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 10}
on 268: {'channel': 227, 'bx': 1005, 'tdc': 17, 'link': 10}
on 269: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 10}
on 270: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 10}
on 271: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 10}
on 272: {'channel': 207, 'bx': 1005, 'tdc': 10, 'link': 10}
on 273: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 10}
on 274: {'channel': 211, 'bx': 1005, 'tdc': 16, 'link': 10}
on 275: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 10}
on 276: {'channel': 215, 'bx': 1005, 'tdc': 14, 'link': 10}
on 277: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 10}
on 278: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 10}
on 279: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 10}
on 280: {'channel': 200, 'bx': 1005, 'tdc': 15, 'link': 11}
on 281: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 11}
on 282: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 11}
on 283: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 11}
on 284: {'channel': 227, 'bx': 1005, 'tdc': 17, 'link': 11}
on 285: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 11}
on 286: {'channel': 200, 'bx': 1005, 'tdc': 15, 'link': 9}
on 287: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 9}
on 288: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 9}
on 289: {'channel': 87, 'bx': 1005, 'tdc': 11, 'link': 9}
on 290: {'channel': 211, 'bx': 1005, 'tdc': 16, 'link': 9}
on 291: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 9}
on 292: {'channel': 215, 'bx': 1005, 'tdc': 15, 'link': 9}
on 293: {'channel': 95, 'bx': 1005, 'tdc': 11, 'link': 9}
on 294: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 9}
on 295: {'channel': 99, 'bx': 1005, 'tdc': 14, 'link': 9}
on 296: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 9}
on 297: {'channel': 103, 'bx': 1005, 'tdc': 13, 'link': 9}
on 298: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 9}
on 299: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 9}
on 300: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 9}
